record_id,nrc_number,first_name,last_name,date_of_birth,gender,district_of_origin,registration_terminal,slot_id,face_embedding_seed,is_duplicate,duplicate_type,canonical_id
REC00058,974224/10/5,Hamukoma,Zulu,1960-11-09,M,Livingstone,T002-Kitwe,E67F0AC06A34,58,False,,
REC00315,332022/28/1,Mwinga,Chanda,1959-07-20,F,Chingola,T002-Kitwe,29B85B31969A,315,False,,
REC00080,736745/24/3,Sitwala,Ng'andu,1955-08-29,F,Kitwe,T002-Kitwe,BB07732917D8,80,False,,
REC00959,475351/96/8,Chipo,Chinyaama,1958-04-16,M,Mazabuka,T001-Lusaka,E9709AC47FB8,688,True,Type1,REC00688
REC00952,526259/25/9,Isaac,Moono,1981-11-03,F,Mansa,T001-Lusaka,7CE5F6B2BAE4,425,True,Type1,REC00425
REC00777,895242/95/9,Monde,Kabwe,1946-01-21,F,Choma,T001-Lusaka,3F3BC5F1405D,777,False,,
REC00148,974190/72/7,Nathan,Nkonde,2001-02-17,M,Lusaka,T002-Kitwe,A97699A38C07,148,False,,
REC00314,203398/70/6,Mary,Namoonde,1968-03-16,F,Solwezi,T001-Lusaka,3746CCC794E3,314,False,,
REC00283,525187/64/9,Kamanga,Kalumba,1952-09-17,M,Kitwe,T002-Kitwe,AC908012F946,283,False,,
REC00355,536181/20/2,David,Musonda,1983-07-06,M,Ndola,T003-Ndola,C39A75A8CCA0,355,False,,
REC00810,907789/59/4,Elijah,Hichilema,1972-12-19,M,Kabwe,T003-Ndola,59F93BB18AEE,810,False,,
REC00513,853681/89/2,Nathan,Musonda,1964-02-13,M,Kitwe,T002-Kitwe,6F33DABC0029,513,False,,
REC00578,240829/96/6,Moses,Tembo,1977-10-06,M,Kabwe,T002-Kitwe,658E8159B005,578,False,,
REC00767,299451/53/8,David,Sikazwe,1996-03-11,M,Kafue,T003-Ndola,E0E139E80345,767,False,,
REC00056,799287/62/6,Hamukoma,Sikazwe,1982-04-08,M,Kasama,T002-Kitwe,CCBFCB2EF741,56,False,,
REC00404,865416/40/1,Sialubalo,Nkumbula,1970-10-07,M,Kitwe,T001-Lusaka,82C4C6756E07,404,False,,
REC00815,385831/52/5,Simainga,Kalumba,1951-07-08,F,Mansa,T002-Kitwe,E5419955A702,815,False,,
REC00521,520245/61/8,Monde,Ng'ombe,1999-10-20,F,Kafue,T002-Kitwe,0CE686893D9B,521,False,,
REC00374,887842/41/5,Chipo,Sata,1951-05-16,F,Kabwe,T001-Lusaka,0E7DF70174DC,374,False,,
REC00220,425138/75/7,Mbewe,Chanda,1981-09-13,M,Kabwe,T003-Ndola,070DACDF382B,220,False,,
REC00756,450006/54/9,Nathan,Lungu,2005-12-07,M,Livingstone,T003-Ndola,A7A0E63FB179,756,False,,
REC00372,676429/75/2,Esther,Sata,1965-07-30,F,Kitwe,T003-Ndola,093E083EE54B,372,False,,
REC00134,934794/15/6,Chisanga,Simuunza,1979-01-05,M,Chipata,T003-Ndola,69F3483B32DC,134,True,Type4,REC00046
REC00869,871501/17/9,Kalunga,Kalumba,1979-11-24,M,Solwezi,T003-Ndola,2143F17BB720,869,False,,
REC00668,769536/48/4,Mumba,Phiri,1966-11-04,M,Choma,T002-Kitwe,6FD271643CD2,668,False,,
REC00304,388519/17/9,Mwale,Lungu,1983-01-21,M,Choma,T003-Ndola,EAAB8C592E33,304,False,,
REC00069,258157/39/7,Ruth,Kasonde,1997-08-07,F,Ndola,T003-Ndola,96873D5B21DD,69,False,,
REC00570,935474/79/5,Chisomo,Sata,1974-12-08,M,Ndola,T003-Ndola,B4C7C8F5E028,570,False,,
REC00814,656011/97/1,Choolwe,Sachitembe,1981-09-10,F,Choma,T001-Lusaka,1A9B12417513,814,False,,
REC00492,787237/73/5,Namukolo,Wina,2007-09-24,F,Choma,T002-Kitwe,9A307B786872,492,False,,
REC00237,741674/21/2,Faith,Mbanga,1998-05-16,F,Mongu,T002-Kitwe,947283567DDB,237,False,,
REC00267,643878/36/9,Lubemba,Kaunda,1997-08-17,F,Mazabuka,T002-Kitwe,93EFD11B347B,267,False,,
REC00987,698388/83/3,Naomi,Sikazwe,1960-02-08,M,Lusaka,T001-Lusaka,5102616C89C6,694,True,Type5,REC00694
REC00699,883997/93/1,Mwinga,Kapembwa,1989-09-03,F,Mansa,T003-Ndola,92BB3F806781,699,False,,
REC00730,560623/88/8,Nyirenda,Chilufya,1994-02-16,M,Solwezi,T003-Ndola,2E4F17F0ED70,730,False,,
REC00614,771394/73/8,Mercy,Mutale,1994-04-16,F,Livingstone,T001-Lusaka,7BC66E7F2627,614,False,,
REC00113,364659/51/2,Daniel,Kasonde,1981-10-18,M,Kafue,T002-Kitwe,1CCF3A29CACE,113,False,,
REC00962,597920/97/4,Libonda,Mutale,1972-12-30,M,Solwezi,T002-Kitwe,C8553950F468,384,True,Type2,REC00384
REC00245,622230/90/9,Joy,Chinyama,2007-04-19,F,Mazabuka,T002-Kitwe,2D951BF91FF9,245,False,,
REC00597,933215/84/3,Kalumba,Libonda,1997-03-18,M,Mazabuka,T003-Ndola,DA854BD84C6A,597,False,,
REC00325,968286/20/1,Mwale,Kamanga,1948-08-24,M,Mongu,T001-Lusaka,A5177FAC5920,325,False,,
REC00912,809147/92/7,Sitwala,Mwamba,1970-05-14,F,Kasama,T001-Lusaka,90DA7BEB24B8,912,True,Type4,REC00527
REC00501,104942/67/5,Mwanachitechi,Chinyama,2004-10-23,M,Mansa,T001-Lusaka,EC8033521B34,501,False,,
REC00965,194634/40/5,Sikazwe,Hichilema,1984-01-08,M,Choma,T002-Kitwe,BD1868FC7FE1,398,True,Type2,REC00398
REC00208,347231/59/2,Nkonde,Sikazwe,1976-06-19,M,Livingstone,T002-Kitwe,C4504FEA4AC9,208,False,,
REC00762,447832/55/2,Nyirenda,Mulonga,1948-07-07,M,Chipata,T001-Lusaka,74406D7E9EB9,762,False,,
REC00140,924718/79/6,Thandiwe,Kabwe,1998-02-27,F,Chingola,T003-Ndola,85563AD018C1,140,False,,
REC00691,690500/79/4,Moono,Libonda,1988-06-02,F,Mansa,T002-Kitwe,FA0D72954C7A,691,False,,
REC00923,644973/27/8,Mwaka,Moono,2000-02-13,F,Kasama,T002-Kitwe,427B68AEE00B,923,False,,
REC00125,651499/68/1,Chipo,Simuunza,2001-01-25,F,Ndola,T003-Ndola,4254CA02605D,125,False,,
REC00547,400538/97/5,Mbewe,Tembo,1995-07-30,M,Kafue,T001-Lusaka,EF8018125991,547,False,,
REC00181,940247/89/8,Chama,Sakala,1994-08-06,F,Choma,T003-Ndola,C2F9D885B4B5,181,False,,
REC00417,617326/35/9,Joseph,Nyirenda,1956-12-06,M,Ndola,T001-Lusaka,5F2069EA851E,417,False,,
REC00392,772741/96/3,Namukolo,Mwale,1998-01-26,F,Chingola,T001-Lusaka,E63E0A1F76B5,392,False,,
REC00779,334665/28/5,Faith,Sitwala,1989-03-24,F,Mongu,T002-Kitwe,DE0DD1B182D7,779,False,,
REC00357,574425/50/2,Chipo,Simuunza,1947-07-04,F,Lusaka,T002-Kitwe,984E975F4F88,357,False,,
REC00395,775933/20/4,Namukolo,Banda,1985-03-02,F,Mufulira,T003-Ndola,F995BDADD65B,395,False,,
REC00800,606743/57/2,Nkandu,Chanda,1959-01-16,F,Kabwe,T003-Ndola,35D273FF8D89,800,False,,
REC00204,627335/77/7,Faith,Gondwe,1975-10-03,F,Kafue,T001-Lusaka,01ADE19E27A7,204,False,,
REC00112,827369/73/5,Tembo,Mvula,1973-01-31,M,Mongu,T003-Ndola,D5520835726E,112,False,,
REC00539,633025/32/3,Moses,Siluwe,1966-09-09,M,Kafue,T003-Ndola,62601D187FF7,539,False,,
REC00856,326665/88/8,Lubemba,Simamba,1997-01-04,F,Mongu,T001-Lusaka,D5591114BE7B,856,False,,
REC00362,483561/51/4,Kabwe,Mutinta,1993-03-29,M,Kitwe,T002-Kitwe,6FC9BECCECE6,362,False,,
REC00947,950874/95/6,Siluwe,Namoonde,1964-11-28,M,Mufulira,T001-Lusaka,86FE61882152,947,False,,
REC00870,587957/89/1,Chibwe,Mwale,1977-03-20,M,Solwezi,T002-Kitwe,F0CB0EE3DB87,870,False,,
REC00553,225151/58/1,Sakala,Ng'ombe,1963-12-01,M,Chipata,T002-Kitwe,0E68C8AE9BED,553,False,,
REC00514,309452/43/9,Elijah,Kabwe,1955-05-19,M,Solwezi,T001-Lusaka,0001B0A2ED60,514,False,,
REC00705,379190/65/6,Simuunza,Banda,2003-08-03,M,Choma,T003-Ndola,7FE4A568789A,705,False,,
REC00753,372273/77/6,Simainga,Libonda,1981-08-15,F,Mufulira,T001-Lusaka,4ED5DDF30813,753,False,,
REC00778,952336/99/8,Esther,Mwamba,2001-09-05,F,Kabwe,T001-Lusaka,3ECF94EEE136,778,False,,
REC00963,735242/14/1,Mulonga,Kamanga,1953-02-11,F,Chipata,T003-Ndola,A8C03A8C6A98,733,True,Type2,REC00733
REC00561,610451/15/5,Mary,Sikazwe,1970-01-15,F,Livingstone,T003-Ndola,AD1C4931F49F,561,False,,
REC00078,359295/35/1,Kasonde,Hichilema,2007-03-26,M,Ndola,T003-Ndola,D79209ACDE0A,78,False,,
REC00389,599968/19/3,Katongo,Mulenga,1990-11-13,M,Livingstone,T003-Ndola,2EAAE733EF44,389,False,,
REC00435,746947/41/5,Chilufya,Kalumba,1954-06-19,M,Mongu,T002-Kitwe,F834C1F5E03E,435,False,,
REC00195,858889/94/3,Katuta,Gondwe,1987-05-29,M,Kitwe,T002-Kitwe,C95C2B6C28F4,195,False,,
REC00758,449472/53/7,Mutinta,Kapembwa,1948-06-26,F,Mufulira,T003-Ndola,6539E3C737C8,758,False,,
REC00522,935620/31/2,Hope,Lungu,1951-10-21,F,Kasama,T001-Lusaka,3A3C2C68D856,522,False,,
REC00439,474795/84/4,Lubemba,Sitwala,1962-07-08,F,Kitwe,T001-Lusaka,872016155CFF,439,False,,
REC00718,347678/74/5,Namoonde,Chinyama,1982-11-22,F,Mazabuka,T001-Lusaka,2ACC0E64B768,718,False,,
REC00631,819678/32/8,Ezekiel,Mbewe,1974-09-10,M,Kasama,T001-Lusaka,DC88D206BCEF,631,False,,
REC00050,960394/39/4,Daniel,Mbewe,1982-08-20,M,Mazabuka,T001-Lusaka,2D70C0C382EA,50,False,,
REC00095,478411/32/5,Mvula,Gondwe,1989-08-09,M,Kasama,T001-Lusaka,155010739DFF,95,False,,
REC00340,860053/81/4,Mwinga,Mwale,2002-06-01,F,Chingola,T003-Ndola,C1002795C64E,340,False,,
REC00160,575755/74/7,Mercy,Sialubalo,1983-07-23,F,Mansa,T001-Lusaka,8D7D10F71195,160,False,,
REC00635,393212/67/3,Sitwala,Nyirenda,1974-01-28,F,Ndola,T003-Ndola,B35DF0AA5507,635,False,,
REC00861,977646/69/5,Mphatso,Siluwe,1967-07-15,F,Kasama,T001-Lusaka,E71DA4FFED83,861,False,,
REC00100,336650/76/7,Mercy,Libonda,1954-07-14,F,Choma,T002-Kitwe,C792875CA1C4,100,False,,
REC00983,796503/52/6,Wamunyima,Simamba,2003-09-27,M,Kafue,T003-Ndola,947A43EF97C9,55,True,Type5,REC00055
REC00574,176697/47/2,Joseph,Nkonde,1960-09-13,M,Kitwe,T002-Kitwe,59279139ADAC,574,False,,
REC00797,546383/89/3,Faith,Nkumbula,1955-10-16,F,Chingola,T002-Kitwe,556EF29CCC1C,797,False,,
REC00091,524045/98/4,Chimfwembe,Gondwe,1990-02-18,M,Mazabuka,T002-Kitwe,79B1F4EFD2F6,91,False,,
REC00855,309668/58/4,Simamba,Sata,1972-12-31,M,Kabwe,T001-Lusaka,B469E04A728C,855,False,,
REC00549,922405/99/5,Katuta,Banda,1964-03-06,M,Mazabuka,T003-Ndola,8B6AFD67E839,549,False,,
REC00008,205907/58/5,Sikazwe,Kasonde,1989-02-16,M,Mazabuka,T002-Kitwe,15CB98E8DECC,8,False,,
REC00177,225812/10/8,Moono,Gondwe,1980-07-30,M,Mongu,T003-Ndola,D6EF0FBBA0EE,177,False,,
REC00885,460549/28/6,Chilufya,Mubita,1981-07-31,M,Chingola,T002-Kitwe,E3EBDF709DC9,885,False,,
REC00942,474725/62/6,Chipo,Simamba,1979-01-19,F,Mazabuka,T001-Lusaka,1B144EF06D87,942,False,,
REC00580,305973/43/2,Mutinta,Mwamba,1961-09-10,M,Kitwe,T003-Ndola,4CFC80A0FE01,580,False,,
REC00101,420214/82/1,Wamunyima,Siluwe,1971-07-18,F,Kasama,T003-Ndola,ED79F3BB0DFB,101,False,,
REC00335,936821/41/2,Kabaso,Kalumba,1983-07-08,F,Chipata,T001-Lusaka,A2112514B04C,335,False,,
REC00202,854540/40/8,Kalumba,Nyirenda,1949-05-02,M,Chipata,T003-Ndola,B4BFDF373908,202,False,,
REC00336,261771/59/6,Chinyama,Kaunda,1953-02-22,M,Kitwe,T002-Kitwe,5ED605864456,336,False,,
REC00045,975136/57/9,Phiri,Mutinta,2006-10-13,M,Mongu,T001-Lusaka,33B52CD7ABBB,45,False,,
REC00003,835392/79/7,Mbewe,Kaunda,1951-09-17,M,Kabwe,T001-Lusaka,A6E749DCC7BD,3,False,,
REC00750,984274/80/2,Choolwe,Chilufya,1971-09-05,F,Kabwe,T002-Kitwe,54AD3FF16337,750,False,,
REC00282,114768/53/5,Dalitso,Kaunda,1993-04-23,F,Mazabuka,T003-Ndola,A37C9EDF1620,282,False,,
REC00280,772464/79/9,Mulonga,Gondwe,1969-04-02,M,Choma,T002-Kitwe,DB959CCE0D8D,280,False,,
REC00479,631413/61/3,Mwamba,Kamanga,1946-05-10,M,Choma,T003-Ndola,A300FBFE5310,479,False,,
REC00289,925618/20/9,Simuunza,Sachitembe,1956-07-24,M,Chingola,T002-Kitwe,B92BA19C0AE7,289,False,,
REC00889,810943/80/2,David,Chanda,1997-07-04,M,Lusaka,T002-Kitwe,D3D4D9F4A65A,889,False,,
REC00688,475351/96/8,Chipo,Chinyama,1958-04-16,F,Mazabuka,T003-Ndola,8605DEC20834,688,False,,
REC00005,498382/22/6,Siluwe,Musonda,2001-09-10,M,Mufulira,T002-Kitwe,483EA2F5D89A,5,False,,
REC00545,698357/95/7,Naomi,Sitwala,1957-09-23,F,Kasama,T003-Ndola,5C31009DA940,545,False,,
REC00333,724540/60/6,Siluwe,Libonda,1954-12-10,M,Mazabuka,T001-Lusaka,5039113FE913,333,False,,
REC00118,633590/44/7,Phiri,Namoonde,1983-10-31,M,Kabwe,T002-Kitwe,F9DF3980EA6A,118,False,,
REC00376,274044/88/3,Joy,Chinyama,1971-08-08,F,Kafue,T001-Lusaka,3DFD482F7AF7,376,False,,
REC00397,921875/40/8,Takondwa,Nkonde,2005-02-12,F,Kitwe,T002-Kitwe,E2026F7DD4FF,397,False,,
REC00083,793655/57/2,Muketoi,Mutinta,1971-08-01,M,Mazabuka,T003-Ndola,1F323F5F0FDE,83,False,,
REC00170,520252/18/3,Banda,Mulonga,1951-01-16,M,Mazabuka,T003-Ndola,44A3E9922784,170,False,,
REC00512,793805/22/9,Bwalya,Kamanga,1972-04-03,M,Mufulira,T002-Kitwe,D24C16CC9920,512,False,,
REC00279,139286/11/5,Thandiwe,Sata,1984-01-17,F,Mufulira,T003-Ndola,299EA9519341,279,False,,
REC00628,795650/73/1,Mumba,Kasonde,1949-05-20,M,Lusaka,T003-Ndola,359CDB190AC2,628,False,,
REC00182,355135/65/7,Kabaso,Simamba,2000-07-08,F,Kitwe,T003-Ndola,382030B87F48,182,False,,
REC00458,529161/99/9,Mulonga,Mumba,1992-12-20,M,Choma,T003-Ndola,F65AF31EF9CE,458,False,,
REC00358,214675/96/3,Chanda,Mvula,1951-11-19,M,Livingstone,T003-Ndola,A29765DDDF39,358,False,,
REC00610,205149/37/9,Isaac,Nkumbula,1995-07-02,M,Mansa,T002-Kitwe,C387255E697C,610,False,,
REC00711,886804/43/9,Nyirenda,Mutinta,1963-01-26,M,Mufulira,T002-Kitwe,A8CE3064AD5A,711,False,,
REC00911,222227/26/1,Nathan,Moono,2003-02-28,M,Solwezi,T002-Kitwe,1A57BE3A15DD,911,False,,
REC00550,926394/97/6,Chinyama,Mwale,1972-08-22,M,Lusaka,T003-Ndola,776401E5C4FE,550,False,,
REC00416,405759/82/5,Mutinta,Nyirenda,1992-01-05,F,Mufulira,T003-Ndola,BC772EB94753,416,False,,
REC00745,183262/86/1,Faith,Lungu,1970-05-16,F,Choma,T001-Lusaka,85C32E4D0D91,745,False,,
REC00564,261223/13/8,Mwenya,Sata,1948-06-19,F,Solwezi,T003-Ndola,CAE543F4C5EC,564,False,,
REC00588,697856/32/7,Dalitso,Siluwe,1961-03-06,F,Mongu,T003-Ndola,DFAC71446BBF,588,False,,
REC00825,287110/92/8,Chisomo,Kalumba,1974-10-16,F,Ndola,T001-Lusaka,40635A62F265,825,False,,
REC00186,896788/84/8,Faith,Hichilema,1959-06-10,F,Choma,T003-Ndola,707896893819,186,False,,
REC00036,539589/94/9,Kasonde,Kalumba,2002-08-29,M,Choma,T002-Kitwe,B5998A4F7513,36,False,,
REC00741,257380/30/3,Mulonga,Mulonga,1950-11-05,M,Mansa,T001-Lusaka,49E725F72093,741,False,,
REC00407,275073/57/3,Martha,Sialubalo,1986-10-03,F,Mansa,T003-Ndola,EF22D5C32477,407,False,,
REC00794,671598/37/3,Siyanza,Mwale,1970-12-21,F,Ndola,T002-Kitwe,EC7A3C862409,794,False,,
REC00813,656208/65/1,Hope,Phiri,1996-12-28,F,Choma,T002-Kitwe,3EF8E2BEFC7F,813,False,,
REC00384,438548/46/6,Mphatso,Namoonde,1985-12-03,F,Mufulira,T003-Ndola,96DD9BD29AF2,384,False,,
REC00018,632342/23/5,Sitwala,Sikazwe,1993-12-26,M,Chingola,T003-Ndola,B888DB84C7A6,18,False,,
REC00145,166287/91/8,Joy,Kalunga,1951-11-29,F,Chipata,T003-Ndola,5E8C4E8274E4,145,False,,
REC00137,736553/55/4,Elijah,Gondwe,1989-05-15,M,Livingstone,T003-Ndola,37570731F9F8,137,False,,
REC00977,233051/99/3,Lubemba,Tembo,1968-12-13,F,Ndola,T003-Ndola,15CCF8092811,379,True,Type3,REC00379
REC00496,334176/49/7,Kabaso,Kalunga,1978-02-21,F,Solwezi,T002-Kitwe,FD0FD9F6743C,496,False,,
REC00735,583757/31/7,Siyanza,Kamanga,1984-05-13,F,Mufulira,T002-Kitwe,81FAC23AA3B9,735,False,,
REC00838,148026/41/3,Chama,Sitwala,1954-07-16,F,Ndola,T001-Lusaka,D972D1B3D81C,838,False,,
REC00891,123643/20/9,Mwale,Tembo,1992-06-15,M,Mazabuka,T002-Kitwe,12FAB045E681,891,False,,
REC00222,558176/61/8,Kondwani,Kapembwa,1976-12-30,F,Solwezi,T002-Kitwe,72905A7F8580,222,False,,
REC00736,694316/70/5,Banda,Moono,1952-01-19,M,Ndola,T001-Lusaka,A9FDF5449D9F,736,True,Type4,REC00328
REC00055,796503/52/6,Wamunyima,Simamba,2003-09-27,M,Kafue,T003-Ndola,856ACB5DF878,55,False,,
REC00162,427704/95/5,Chipo,Sakala,1971-09-23,F,Ndola,T002-Kitwe,0ED1E6F66B5F,162,False,,
REC00418,667851/54/1,Kalumba,Bwalya,1989-02-10,M,Lusaka,T002-Kitwe,EF327FEFE079,418,False,,
